N (x10^5);a (mm);Torque (Nm);n (rpm);Temp (ºC)
21,542747741683172; 1,1128997243930971;0,5;1000;65
21,624834557500975; 1,1792648280288436;0,5;1000;65
21,95109486782765; 1,422603541359912;0,5;1000;65
21,865529797102326; 1,3193689357043077;0,5;1000;65
0,20169301607329615;0,067739475;1;1000;22
0,403668515; 0,14675944670954166;1;1000;22
0,7059255562565383; 0,23704108247568279;1;1000;22
1,007617630719114; 0,3047240609787103;1;1000;22
1,3091684635737941; 0,3667573751659585;1;1000;22
1,7108595964256494; 0,43440268924021463;1;1000;22
2,1304230251495966; 0,46830955778346883;1;1000;22
2,5916881521154878; 0,5043226902753553;1;1000;22
3,196981307755099; 0,5368890561406356;1;1000;22
3,5737282793166436; 0,5548405887112202;1;1000;22
3,9746071405802077; 0,5773063904331841;1;1000;22
4,776157544467285; 0,6139452482750438;1;1000;22
5,2568352350016525;0,625826491;1;1000;22
5,737720244176067; 0,6460004794568528;1;1000;22
6,378711784917662; 0,6653602710078599;1;1000;22
6,816884963418428; 0,6754173689513281;1;1000;22
7,339954083091822; 0,6845994408046558;1;1000;22
7,820612926477089; 0,6957267976307024;1;1000;22
8,301347158; 0,7098696983120458;1;1000;22
8,781892918949435; 0,7164737393551466;1;1000;22
9,182357142932897; 0,7223540498729761;1;1000;22
9,667988060376082; 0,7195412472575593;1;1000;22
10,183234995655116; 0,7257465367101856;1;1000;22
10,623655175721257; 0,7285962256534413;1;1000;22
11,264156690586372; 0,7283549821450173;1;1000;22
11,744627062480685; 0,7319434793328212;1;1000;22
12,225097434374998; 0,7355319765206243;1;1000;22
12,70543587622564; 0,7338432719616583;1;1000;22
13,186075872461817; 0,7442167428238804;1;1000;22
13,666489702908837; 0,7455435821202112;1;1000;22
14,14709200484683; 0,7544092810547847;1;1000;22
14,627468140995664; 0,7542283484234669;1;1000;22
15,027979482851858; 0,7619933738508573;1;1000;22
15,709151260750385; 0,7872937867968002;1;1000;22
16,390581244591512;0,822922437;1;1000;22
16,858103625057144; 0,8423475657816746;1;1000;22
17,352728205922265; 0,8783481335074974;1;1000;22
17,82637967927378; 0,9294344619600863;1;1000;22
18,27611035099316; 0,9844500440561275;1;1000;22
18,597507015090724; 1,0301656889024318;1;1000;22
18,918963990065404; 1,0782937688329741;1;1000;22
19,16016980419099; 1,1189131445638267;1;1000;22
19,36209815960132; 1,1897030365669274;1;1000;22
19,523674768797964; 1,2476919449042914;1;1000;22
19,725584277059195; 1,317727950943567;1;1000;22
19,88717973340493; 1,376470745244755;1;1000;22
20,009196176649898; 1,4533218803970032;1;1000;22
20,087805199574394; 1,5122268151900635;1;1000;22
20,13935838645588; 1,574354290449242;1;1000;22
20,214780878984772; 1,6703656493820151;1;1000;22
0,10070526642875421; 0,028229489364507643;1;1000;34
0,5212251646430168; 0,15114973280259214;1;1000;34
0,8841571759174833; 0,2570103998427973;1;1000;34
1,3272988843130378; 0,3687212219622804;1;1000;34
1,7702122729595473; 0,47129925412000606;1;1000;34
2,4930464571920545;0,561827056;1;1000;34
3,375545366444765; 0,6338683982462916;1;1000;34
4,257540542803465; 0,6857604251889455;1;1000;34
5,139114228373295;0,720792821;1;1000;34
6,020646792890556; 0,7541803738621327;1;1000;34
6,901912070566102; 0,7768764534785011;1;1000;34
7,783105386; 0,7966940594148131;1;1000;34
8,664082816707175; 0,8078762443109557;1;1000;34
9,569044101; 0,8176512667880766;1;1000;34
10,48803109082927; 0,8191144756787523;1;1000;34
11,306634737893493; 0,8262080095476576;1;1000;34
12,187591607674744; 0,8365677733923556;1;1000;34
13,068414834035128;0,8415818;1;1000;34
13,949320302500663; 0,8498855116187496;1;1000;34
14,830513618334205; 0,8697031175550611;1;1000;34
15,711748055220323; 0,8911655655942625;1;1000;34
16,593342301316444; 0,9270203820337457;1;1000;34
17,475152432938568; 0,9715106195133973;1;1000;34
18,237526467364628; 1,042363563797109;1;1000;34
18,800641588043188; 1,149204282590286;1;1000;34
19,20342401136541; 1,247812566658503;1;1000;34
19,52616259247858; 1,3472048921290969;1;1000;34
19,84901425648633; 1,4511205333826362;1;1000;34
19,97120032407315; 1,5347566422093024;1;1000;34
20,054630370736373; 1,6694207789740219;1;1000;34
0,050564495626218786; 0,022598657263114497;1;1000;50
0,3028220073257373; 0,11289912524364265;1;1000;50
0,5555032438489285; 0,22014858617150512;1;1000;50
0,8584664927825543; 0,33867854351653914;1;1000;50
1,2111467876950286; 0,4458903400156311;1;1000;50
1,764248924209756; 0,5699758006045137;1;1000;50
2,2662215986666787; 0,6488827788815552;1;1000;50
2,996680403669167;0,691324104;1;1000;50
